,Name,Address,Rating,Money,lat,lng,District
111,Martinez,"Сретенка, 1",8.6,3.0,55.766532,37.630544,Мещанский
112,Tehnikum,"Б.Дмитровка, 7/5, стр. 2",8.6,2.0,55.760849,37.614743,Тверской
113,Рецептор,"Чистопрудный б-р, 23, стр. 2",8.5,2.0,55.76056,37.647154,Басманный
114,Meatless,"Тверская, 20, стр. 1",8.5,2.0,55.766643,37.602373,Тверской
115,Чайная высота,"Покровка, 27, стр. 1",8.5,1.0,55.760194999999996,37.648097,Басманный
116,Marketplace,"Мясницкая, 13, стр. 3",8.5,1.0,55.762622,37.63394,Красносельский
117,Beer & Brut,"Покровка, 26/1",8.5,2.0,55.759831000000005,37.649121,Басманный
119,Pivbar,"1-я Тверская-Ямская, 2, стр. 1",8.5,2.0,55.770284,37.597118,Тверской
120,Хитрые люди,"4-й Сыромятнический пер., 1/8, стр. 10, ЦСИ «Винзавод»",8.5,2.0,55.75565699999999,37.665865999999994,Басманный
121,Семифреддо,"Тимура Фрунзе, 11, стр. 55",8.5,4.0,55.73515,37.586634000000004,Хамовники
122,Hills,"Крылатские Холмы, 7, корп. 2",8.5,3.0,55.74878199999999,37.422988000000004,Крылатское
123,Никуда не едем,"Рочдельская, 15, стр. 8, БЦ «Трехгорная мануфактура»",8.5,3.0,55.756802,37.564751,Пресненский
125,Колбасофф,"Маршала Бирюзова, 32, ТРЦ «Пятая авеню», 3 уровень",8.5,2.0,55.799588,37.483022999999996,Щукино
126,Чайковский,"Триумфальная пл., 4/31, в здании Концертного зала им. Чайковского",8.5,3.0,55.768765,37.595940999999996,Тверской
127,Иерусалим,"Б.Бронная, 6, стр. 3",8.5,2.0,55.760220999999994,37.598151,Пресненский
128,Friends & Family,"Ленинская Слобода, 26",8.5,2.0,55.710124,37.654601,Даниловский
129,Кимчи,"Бутырский Вал, 5, БЦ «Ямская-центр», 1 этаж",8.5,2.0,55.778558,37.584568,Тверской
130,Andiamo,"Строителей, 4, стр. 2",8.5,3.0,55.687096,37.5357,Гагаринский
131,Adri BBQ Wine,"Лесная, 7, БЦ «Белые сады»",8.5,3.0,55.778668999999994,37.587964,Тверской
132,Mushrooms,"Б.Якиманка, 22, ТЦ «Гименей», 2 этаж",8.5,3.0,55.738216,37.614545,Якиманка
133,The Tipsy Pub,"Сущевская, 9",8.4,2.0,55.780552,37.601591,Тверской
134,Rumor Bar,"Покровка, 21–23/25, стр. 1",8.4,2.0,55.759689,37.64719,Басманный
136,Rico,"Ружейный пер., 6, стр. 1",8.4,3.0,55.743958,37.581056,Хамовники
137,Correa's,"Б.Ордынка, 40, стр. 2",8.4,2.0,55.736183999999994,37.622971,Якиманка
138,Турандот,"Тверской б-р, 26, стр. 3",8.4,4.0,55.763335999999995,37.604628000000005,Тверской
140,BBcafé,"Скатертный пер., 13",8.4,2.0,55.755753000000006,37.594646999999995,Пресненский
142,Ароматная река,"наб. Академика Туполева, 15, стр. 2",8.4,2.0,55.762186,37.681182,Басманный
144,BB & Burgers,"56-й км МКАД, ТРЦ «Vegas Кунцево»",,1.0,55.74261,37.398482,Кунцево
145,BB & Burgers,"М.Дмитровка, 4",,1.0,55.767295999999995,37.60673,Тверской
146,BB & Burgers,"Мясницкая, 18",,1.0,55.761138,37.632727,Басманный
147,BB & Burgers,"Ходынский б-р, 4, ТРЦ «Авиапарк», 3 этаж",,1.0,55.790464,37.530409000000006,Хорошёвский
148,BB & Burgers,"1-я Тверская-Ямская, 4",,1.0,55.771428,37.594234,Тверской
149,BBC,"Б.Новодмитровская, 12, стр. 16",,2.0,55.798308,37.585287,Бутырский
150,BBFan 24,"Мясницкая, 24/7, стр. 1",,2.0,55.762443999999995,37.635593,Басманный
151,BB Grill,"Автозаводская, 18, ТРЦ «Ривьера»",,3.0,55.705452,37.637749,Даниловский
152,BBQ Land,"66-й км МКАД, пересечение с Волоколамским ш., ТРЦ «Vegas Крокус-сити», 3 этаж",,1.0,55.814836,37.39046,Строгино
153,Bear Burgers,"Преображенская пл., 12",,1.0,55.794264,37.713817999999996,Преображенское
154,Beasty Burgers,"Паромная, 11/31",,1.0,55.635736,37.764097,Братеево
155,Beaumonde Lounge,"Никольская, 25, ТЦ «Наутилус»",,3.0,55.759091000000005,37.624777,Тверской
156,Beaver Bar,"Усиевича, 12/14",,2.0,55.806321999999994,37.52828,Аэропорт
157,Bébé de la mer,"Петровка, 30/7",,3.0,55.768071,37.614401,Тверской
158,Beef & Beer,"Петрозаводская, 11, корп. 1",,2.0,55.865908999999995,37.49435,Ховрино
159,Beefhouse,"Бутырский Вал, 5",,3.0,55.778558,37.584568,Тверской
160,Beef Time,"просп. Мира, 102, стр. 1а",,3.0,55.800205000000005,37.636653,Алексеевский
161,Beef Рояль,"Пречистенская наб., 13, стр. 1",,4.0,55.738029000000004,37.603963,Хамовники
163,Beerburgerpub,"Ленинский просп., 70/11",,1.0,55.687406,37.543264,Гагаринский
164,Beerburgerpub,"1-я ул. Бухвостова, 12/11, корп. 53",,1.0,55.796997,37.713683,Преображенское
166,Beer & Go,"Новослободская, 52",,2.0,55.787690000000005,37.593785,Тверской
167,Beer & Go,"Коштоянца, 20, корп. 1",,2.0,55.674352,37.477777,Тропарёво-Никулино
169,Донна Маргарита,"ул. 1905 года, 2, стр. 1",8.4,3.0,55.755353,37.560071,Пресненский
170,Mr. Ливанец,"Глинищевский пер., 3",8.4,2.0,55.763265000000004,37.609775,Тверской
171,Бутчер,"Цветной б-р, 2, БЦ «Легенда Цветного»",8.4,4.0,55.768025,37.623483,Мещанский
172,Кондитерская «Пушкин»,"Тверской б-р, 26а",8.4,2.0,55.7637,37.605032,Тверской
173,Рецептор,"Б.Козихинский пер., 10",8.4,2.0,55.762885,37.597359999999995,Пресненский
174,Cutfish,"Б.Козихинский пер., 17",8.4,3.0,55.763949,37.595393,Пресненский
175,Марукамэ,"Пятницкая, 29/8",8.4,1.0,55.74094300000001,37.628756,Замоскворечье
177,Casa di famiglia,"Металлургов, 7/18",8.4,2.0,55.75735400000001,37.780122999999996,Перово
178,Вай мэ!,"Пятницкий пер., 8, стр. 1",8.4,1.0,55.742879,37.629745,Замоскворечье
180,Ботаника,"Б.Грузинская, 61а",8.4,2.0,55.772183,37.584334999999996,Пресненский
181,Грабли,"Тверская, 18, корп. 1",8.4,1.0,55.766147,37.604240999999995,Тверской
182,Magnum Wine Bar,"Лесная, 5б, БЦ «Белая площадь»",8.3,3.0,55.778273999999996,37.586859000000004,Тверской
183,Хачапури,"Украинский б-р, 7",8.3,2.0,55.747774,37.566925,Дорогомилово
184,Bar BQ Café на Пятницкой,"Пятницкая, 25, стр. 1д",8.3,2.0,55.741521,37.628809999999994,Замоскворечье
185,Laffa Laffa,"М.Бронная, 4",8.3,2.0,55.759552,37.597477000000005,Пресненский
186,Дружба,"Панкратьевский пер., 2",8.3,1.0,55.771666,37.633185,Красносельский
187,Selfie,"Новинский б-р, 31, ТДЦ «Новинский», 2 этаж",8.3,3.0,55.757830000000006,37.582511,Пресненский
189,Апрель,"Б.Спасская, 29",8.3,2.0,55.77636999999999,37.643677000000004,Красносельский
190,Северяне,"Б.Никитская, 12",8.3,3.0,55.756513,37.60646,Пресненский
191,Beer Harbor,"Покровка, 21–23/25, стр. 1",,2.0,55.759689,37.64719,Басманный
192,Beer Loft,"Мневники, 23",,2.0,55.774087,37.478190000000005,Хорошёво-Мнёвники
193,Трын-трава,"Молодогвардейская, 28, корп. 1",8.3,2.0,55.734248,37.418021,Кунцево
195,Beerness,"Серпуховский Вал, 3",,2.0,55.71106700000001,37.618507,Даниловский
197,Beertep Craft Pub,"Адмирала Макарова, 6, стр. 13",,1.0,55.83566,37.490497,Войковский
198,Beer Time,"Сущевская, 19, стр. 4",,1.0,55.781848,37.600747,Тверской
199,Beery Beer,"Ивана Сусанина, 4, корп. 1",,1.0,55.867349,37.526277,Западное Дегунино
200,Bee's Knees Café,"Духовской пер., 17",,1.0,55.704149,37.615857,Донской
201,Belagio,"Соколово-Мещерская, 25",,3.0,55.902868000000005,37.384584999999994,Куркино
203,Bella Napoli,"Медынская, 7а, стр. 1",,2.0,55.5867,37.648070000000004,Бирюлёво Западное
204,Bella pasta,"Красная Пресня, 6/2, стр. 1",,2.0,55.761365000000005,37.574831,Пресненский
205,Bella pasta,"Солянка, 2/6",,2.0,55.753985,37.636671,Таганский
206,Bella vita,"Погонный пр., 3а",,2.0,55.820273,37.700649,Богородское
209,Belochka,"Лесная, 1/2",,2.0,55.776872,37.585386,Тверской
211,Benedict Café,"Пречистенская наб., 15, стр. 1",,2.0,55.738338,37.604726,Хамовники
212,Ben Gunn,"Смоленский б-р, 1/2",,2.0,55.738916,37.584649,Хамовники
214,Bericoni,"Мичуринский просп., Олимпийская деревня, 4, корп. 3",,2.0,55.675352000000004,37.470662,Тропарёво-Никулино
215,Beriozka,"просп. Мира 26, стр. 1",,3.0,55.77796,37.633068,Мещанский
217,Berry Berry Boom,"24-й км МКАД, пересечение с Каширским ш., ТРЦ Vegas",,1.0,55.59399499999999,37.734946,Орехово-Борисово Южное
220,Beverly Hills Diner,"Арбат, 23, стр. 1",,2.0,55.750423,37.595348,Арбат
221,Beverly Hills Diner,"Садовая-Триумфальная, 18–20",,2.0,55.771565,37.602885,Тверской
223,Beverly Hills Diner,"Покровка, 10, стр. 2",,2.0,55.758954,37.644207,Басманный
224,Be Young,"Измайловский Вал, 2",,2.0,55.7836,37.719244,Соколиная Гора
225,BFB Bar,"Нижегородская, 32, стр. 5",,2.0,55.736691,37.693857,Таганский
227,Bibi,"Чистопрудный б-р, 12, стр. 6",,1.0,55.761633999999994,37.64215,Басманный
229,Big Bite Café,"Б.Никитская, 14/2, стр. 6",,1.0,55.756665000000005,37.605795,Пресненский
230,Big Bite Café,"Лесная, 43",,1.0,55.78058299999999,37.590677,Тверской
232,Big Тарталетка,"Б.Полянка, 30",,1.0,55.734151000000004,37.61892,Якиманка
234,Birger,"Семеновская пл., 7, корп. 17",,2.0,55.783605,37.721292,Соколиная Гора
235,Biz Coffee,"Б.Семеновская, 49а, ТЦ «Семеновский пассаж», 1 этаж",,1.0,55.781955,37.715740000000004,Соколиная Гора
236,Bla-Bla Bar,"Лесная, 1/2",,2.0,55.776872,37.585386,Тверской
237,Bla Bla Room,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис», 3 этаж",,1.0,55.823211,37.497468,Войковский
239,Black Code,"Садовническая, 42",,2.0,55.744845,37.63668,Замоскворечье
240,Patara Café,"Ермолаевский пер., 7",8.3,3.0,55.764237,37.59047,Пресненский
241,Boston Seafood & Bar,"Лесная, 7, БЦ «Белые сады»",8.3,3.0,55.778668999999994,37.587964,Тверской
242,Gayane's,"2-й Смоленский пер., 1/4",8.3,2.0,55.747023999999996,37.581523,Арбат
243,Молоко,"Б.Дмитровка, 7/5, стр. 5",8.3,2.0,55.760985999999995,37.613889,Тверской
244,AC/DC в Тбилиси,"Крымский Вал, 9, стр. 19, в парке Горького",8.3,1.0,55.725609999999996,37.599615,Якиманка
246,Black Thai,"Б.Путинковский пер., 5",8.3,3.0,55.76719,37.607709,Тверской
247,Chainaya. Tea & Cocktails,"1-я Тверская-Ямская, 29, стр. 1",8.2,3.0,55.776001,37.585188,Тверской
248,Semplice,"Чаплыгина, 6",8.2,2.0,55.763847,37.646031,Басманный
249,I Like Wine 2.0,"Тимура Фрунзе, 11, стр. 19",8.2,2.0,55.735772999999995,37.586715000000005,Хамовники
250,Goodman,"Ленинский просп., 57",8.2,3.0,55.696575,37.561544,Гагаринский
251,Da Pino,"Б.Бронная, 23, стр. 1",8.2,2.0,55.763376,37.601439,Пресненский
252,Friends & Family,"Осенний б-р, 7, корп. 2",8.2,2.0,55.758225,37.405759,Крылатское
253,Андерсон на Островитянова,"Островитянова, 5",8.2,2.0,55.644693999999994,37.493973,Обручевский
255,Goodman,"Трубная пл., 2, ТЦ «Неглинная плаза», 2 этаж",8.2,3.0,55.766491,37.622333000000005,Мещанский
256,Рецептор,"Б.Никитская, 22/2",8.2,2.0,55.7571,37.602948,Пресненский
257,Mandarin Combustible,"М.Черкасский пер., 2",8.2,2.0,55.758396999999995,37.626079,Тверской
258,Эларджи,"Гагаринский пер., 15а",8.2,3.0,55.744323,37.595689,Хамовники
259,Уголек,"Б.Никитская, 12",8.2,3.0,55.756513,37.60646,Пресненский
262,Тарас Бульба,"Моховая, 8, стр. 1",8.2,2.0,55.750631000000006,37.610152,Тверской
263,Чихо,"Кривоколенный пер., 12, стр. 10",8.2,1.0,55.761821,37.636015,Басманный
264,Николай,"Пятницкая, 53",8.2,2.0,55.734866000000004,37.628011,Замоскворечье
266,Высота 5642,"Б.Черкасский пер., 15–17, стр. 1",8.2,3.0,55.756386,37.627454,Тверской
267,"Black Coffee, Please","Зубовский б-р, 16–20, стр. 1",,1.0,55.73836800000001,37.587973,Хамовники
268,Blacklist,"Б.Дмитровка, 20, стр. 1",,2.0,55.762804,37.613808,Тверской
270,Il massimo,"Автозаводская, 4",8.2,2.0,55.710002,37.662721999999995,Даниловский
271,Буфет,"Александра Солженицына, 46",8.2,3.0,55.745720999999996,37.667887,Таганский
272,Blacksmith Irish Pub,"Бутырский Вал, 5",,2.0,55.778558,37.584568,Тверской
274,Black Star Burger,"пл. Киевского Вокзала, 2, ТРЦ «Европейский»",,1.0,55.744631999999996,37.566072,Дорогомилово
275,Цветение сакуры,"Красина, 7, стр. 1",8.2,3.0,55.767072999999996,37.588162,Пресненский
276,Meating,"4-й Сыромятнический пер., 3/5",8.2,1.0,55.755008,37.667303000000004,Басманный
277,Black & White,"Волгоградский просп., 26, стр. 1",,2.0,55.726293999999996,37.680949,Южнопортовый
278,Blanc de blancs,"Люсиновская, 36/50",,2.0,55.72229399999999,37.621534000000004,Замоскворечье
280,Bora Bora,"Ореховый б-р, 14, корп. 3, ТРЦ «Домодедовский»",8.2,2.0,55.609675,37.720106,Орехово-Борисово Южное
281,Андерсон на Страстном,"Страстной б-р, 4",8.2,2.0,55.765387,37.607772,Тверской
282,Bloom-n-Brew,"Ниж.Красносельская, 35, стр. 50",,1.0,55.77468399999999,37.674067,Басманный
284,China Club,"Красина, 21",8.2,3.0,55.768693999999996,37.586104,Пресненский
286,Blueberry Haze,"Луков пер., 10",,1.0,55.7676,37.635143,Красносельский
288,13°,"4-я Тверская-Ямская, 13",8.2,2.0,55.772264,37.597028,Тверской
289,Suzuran,"Сверчков пер., 8",8.2,2.0,55.760226,37.639878,Басманный
290,Воронеж,"Б.Дмитровка, 12/1, стр. 1",8.2,2.0,55.76153299999999,37.614734000000006,Тверской
291,Bob Smoker Bar,"М.Палашевский пер., 6",,2.0,55.7652,37.602705,Тверской
293,Bocconcino,"Кутузовский просп., 57, ТРЦ «Океания», 4 этаж",,3.0,55.727927,37.476169,Фили-Давыдково
294,Bocconcino,"Ленинградское ш., 16, стр. 8",,3.0,55.82164399999999,37.499784999999996,Войковский
295,Zotman Pizza Pie,"Б.Никитская, 23/14/9",8.2,2.0,55.756907999999996,37.599399,Пресненский
296,Torro Grill,"просп. Вернадского, 6, ТЦ «Капитолий Вернадского», 2 этаж",8.1,3.0,55.69195799999999,37.527956,Раменки
297,Bocconcino,"Б.Патриарший пер., 4",,3.0,55.762449,37.591916,Пресненский
298,Bodrum,"Новая Дорога, 11, стр. 6",,2.0,55.77460799999999,37.702498999999996,Басманный
299,Воккер,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»",8.1,1.0,55.823211,37.497468,Войковский
300,Lambic,"Мясницкая, 40а",8.1,3.0,55.766415,37.640596,Басманный
302,Bolognetta,"пл. Киевского Вокзала, 2, ТРЦ «Европейский», 3 этаж",,4.0,55.744631999999996,37.566072,Дорогомилово
303,Bona,"Люблинская, 66/1",,2.0,55.671854,37.739222,Люблино
305,Bonapé,"Кировоградская, 13а, ТЦ Columbus",,1.0,55.612182,37.607026,Чертаново Центральное
306,Bonapé,"Гурьянова, 2а",,1.0,55.693920999999996,37.723079,Печатники
307,Madwinebar,"Мясницкая, 24/7, стр. 1",8.1,3.0,55.762443999999995,37.635593,Басманный
308,Michel,"Красная Пресня, 13",8.1,3.0,55.761138,37.571067,Пресненский
309,Сайгон,"Сущевский Вал, 5, стр. 22",8.1,2.0,55.793085,37.592599,Марьина Роща
310,Bonapé,"Зеленодольская, 44",,1.0,55.700938,37.764483,Кузьминки
311,Nude. Coffee & Wine Bar,"Спиридоновка, 24/1",8.1,1.0,55.761633999999994,37.592069,Пресненский
312,Рюмочная,"Б.Никитская, 22/2",8.1,1.0,55.7571,37.602948,Пресненский
313,Сок,"Лаврушинский пер., 15, стр. 1",8.1,2.0,55.741606999999995,37.621444,Якиманка
314,Лига пап,"Б.Лубянка, 24",8.1,2.0,55.765189,37.631182,Красносельский
316,Secret Place,"Калошин пер., 4, стр. 1",8.1,2.0,55.747905,37.592545,Арбат
317,Хлебная лавка,"Б.Никитская, 58",8.1,2.0,55.75861999999999,37.586509,Пресненский
318,Винный рынок на Никитском,"Никитский б-р, 8а",8.1,2.0,55.753909,37.601582,Пресненский
319,Ти-бон Wine,"просп. Мира, 58",8.1,3.0,55.785392,37.63606,Мещанский
320,Брянский бык,"Б.Лубянка, 24",8.1,2.0,55.765189,37.631182,Красносельский
321,Нияма,"Красная Сосна, 2а, ТЦ «Компас», 2 этаж",8.1,2.0,55.85094399999999,37.67917,Ярославский
322,19 Bar & Atmosphere,"Покровка, 19",8.1,2.0,55.759588,37.646489,Басманный
325,Christian,"Кутузовский просп., 2/1, стр. 1а, гостиница «Radisson Royal Москва»",8.1,3.0,55.750712,37.564904,Дорогомилово
326,Obed Bufet Арбат,"Н.Арбат, 15",8.1,1.0,55.752141,37.592411,Арбат
327,Zinger Grill,"Арбат, 12, стр. 2",8.1,2.0,55.751047,37.595743,Арбат
328,Upside Down Cake Co. на Грузинской,"Б.Грузинская, 76",8.1,2.0,55.773559999999996,37.586904,Тверской
329,Одесса-мама,"Кривоколенный пер., 10, стр. 5",8.1,2.0,55.761761,37.635673,Басманный
330,I Like Bar,"Шухова, 21",8.1,2.0,55.716351,37.608805,Даниловский
333,Extra Virgin,"Покровка, 17, стр. 1",8.1,2.0,55.759851,37.64577,Басманный
334,У Сальваторе,"Самотечная, 13",8.1,2.0,55.777530000000006,37.61759,Тверской
336,Bonapé,"1-я Останкинская, 55",,1.0,55.82400500000001,37.634434000000006,Останкинский
337,Bonapé,"Декабристов, 12, ТК «Золотой Вавилон Отрадное»",,1.0,55.86310600000001,37.602049,Отрадное
340,Bon app café,"Никольская, 25, ТЦ «Наутилус»",,2.0,55.759091000000005,37.624777,Тверской
341,Bon Café,"Шаболовка, 20",,1.0,55.721543999999994,37.609567999999996,Якиманка
342,Boncho Poncho,"Ореховый б-р, 22а, ТЦ «Облака»",,1.0,55.612044999999995,37.732718,Зябликово
