,Name,Address,Metro,Rating,Money
156,Beaver Bar,"Усиевича, 12/14",Аэропорт,,2
157,Bébé de la mer,"Петровка, 30/7","Тверская, Пушкинская, Цветной бульвар, Чеховская, Трубная",,3
158,Beef & Beer,"Петрозаводская, 11, корп. 1",Речной вокзал,,2
159,Beefhouse,"Бутырский Вал, 5",Белорусская,,3
160,Beef Time,"просп. Мира, 102, стр. 1а",Алексеевская,,3
161,Beef Рояль,"Пречистенская наб., 13, стр. 1","Кропоткинская, Парк культуры",,4
162,Beer Bar 37,"Крылатские Холмы, 37",Крылатское,,
163,Beerburgerpub,"Ленинский просп., 70/11","Университет, Академическая",,1
164,Beerburgerpub,"1-я ул. Бухвостова, 12/11, корп. 53",Преображенская площадь,,1
165,Beer Gik,"Мясницкая, 22/2, стр. 1","Чистые пруды, Тургеневская",,
166,Beer & Go,"Новослободская, 52","Новослободская, Савеловская, Менделеевская",,2
167,Beer & Go,"Коштоянца, 20, корп. 1","Проспект Вернадского, Юго-Западная",,2
168,Coin Hall,"Пятницкая, 71/5, стр. 2","Добрынинская, Серпуховская",,
169,Донна Маргарита,"ул. 1905 года, 2, стр. 1",Улица 1905 года,8.4,3
170,Mr. Ливанец,"Глинищевский пер., 3","Тверская, Пушкинская, Чеховская",8.4,2
171,Бутчер,"Цветной б-р, 2, БЦ «Легенда Цветного»","Цветной бульвар, Трубная",8.4,4
172,Кондитерская «Пушкин»,"Тверской б-р, 26а","Тверская, Пушкинская, Чеховская",8.4,2
173,Рецептор,"Б.Козихинский пер., 10","Маяковская, Тверская, Пушкинская, Чеховская",8.4,2
174,Cutfish,"Б.Козихинский пер., 17","Тверская, Пушкинская, Чеховская",8.4,3
175,Марукамэ,"Пятницкая, 29/8","Новокузнецкая, Третьяковская",8.4,1
176,Hong Kong,"Русаковская, 24, гостиница Holiday Inn Moscow Sokolniki, 24 этажи",Сокольники,8.4,2
177,Casa di famiglia,"Металлургов, 7/18",Перово,8.4,2
178,Вай мэ!,"Пятницкий пер., 8, стр. 1","Новокузнецкая, Третьяковская",8.4,1
179,Чайка,"Краснопресненская наб., напротив дома 12",Выставочная,8.4,3
180,Ботаника,"Б.Грузинская, 61а","Белорусская, Маяковская",8.4,2
181,Грабли,"Тверская, 18, корп. 1","Тверская, Пушкинская, Чеховская",8.4,1
182,Magnum Wine Bar,"Лесная, 5б, БЦ «Белая площадь»",Белорусская,8.3,3
183,Хачапури,"Украинский б-р, 7",Киевская,8.3,2
184,Bar BQ Café на Пятницкой,"Пятницкая, 25, стр. 1д","Новокузнецкая, Третьяковская",8.3,2
185,Laffa Laffa,"М.Бронная, 4","Тверская, Пушкинская, Чеховская",8.3,2
186,Дружба,"Панкратьевский пер., 2",Сухаревская,8.3,1
187,Selfie,"Новинский б-р, 31, ТДЦ «Новинский», 2 этаж","Краснопресненская, Баррикадная",8.3,3
188,Волконский,"Б.Садовая, 2/46",Маяковская,8.3,2
189,Апрель,"Б.Спасская, 29","Комсомольская, Проспект Мира, Сухаревская",8.3,2
190,Северяне,"Б.Никитская, 12",Арбатская,8.3,3
191,Beer Harbor,"Покровка, 21–23/25, стр. 1","Чистые пруды, Курская, Тургеневская, Китай-город, Сретенский бульвар, Чкаловская",,2
192,Beer Loft,"Мневники, 23","Полежаевская, Хорошево",,2
193,Трын-трава,"Молодогвардейская, 28, корп. 1",Молодежная,8.3,2
194,Beermood,"Чистопрудный б-р, 21","Чистые пруды, Тургеневская, Сретенский бульвар",,
195,Beerness,"Серпуховский Вал, 3","Тульская, Верхние Котлы",,2
196,Beer Pub,"просп. Мира, 150, гостиница «Космос»",ВДНХ,,3
197,Beertep Craft Pub,"Адмирала Макарова, 6, стр. 13","Водный стадион, Войковская",,1
198,Beer Time,"Сущевская, 19, стр. 4",Менделеевская,,1
199,Beery Beer,"Ивана Сусанина, 4, корп. 1","Речной вокзал, Бибирево, Владыкино",,1
200,Bee's Knees Café,"Духовской пер., 17",Тульская,,1
201,Belagio,"Соколово-Мещерская, 25","Речной вокзал, Планерная",,3
202,Belka,"Правды, 3/1",Белорусская,,
203,Bella Napoli,"Медынская, 7а, стр. 1",Царицыно,,2
204,Bella pasta,"Красная Пресня, 6/2, стр. 1","Краснопресненская, Баррикадная",,2
205,Bella pasta,"Солянка, 2/6",Китай-город,,2
206,Bella vita,"Погонный пр., 3а","Бульвар Рокоссовского, Белокаменная",,2
207,Bellissima,"Ольховская, 23, гостиница Mandarin","Красносельская, Бауманская",,3
208,Bellucci,"Кутузовский просп., 48, галереи «Времена года»","Парк Победы, Славянский бульвар",,3
209,Belochka,"Лесная, 1/2",Белорусская,,2
210,Beluga Caviar Bar,"Красная пл., 3, ГУМ, 1 этаж, 3 линия","Охотный Ряд, Театральная, Площадь Революции",,3
211,Benedict Café,"Пречистенская наб., 15, стр. 1",Кропоткинская,,2
212,Ben Gunn,"Смоленский б-р, 1/2",Парк культуры,,2
213,Berezy Park,"Строгинское ш., влад. 1",Щукинская,,
214,Bericoni,"Мичуринский просп., Олимпийская деревня, 4, корп. 3","Проспект Вернадского, Юго-Западная",,2
215,Beriozka,"просп. Мира 26, стр. 1","Проспект Мира, Сухаревская",,3
216,Berlin Bar,"Б.Садовая, 14, стр. 6","Маяковская, Тверская, Пушкинская, Чеховская",,
217,Berry Berry Boom,"24-й км МКАД, пересечение с Каширским ш., ТРЦ Vegas",Домодедовская,,1
218,Bestsmoke,"Сокольническая пл., 4а, ТД «Русское раздолье»",Сокольники,,2
219,Bestsmoke,"Ярославское ш., 28",ВДНХ,,
220,Beverly Hills Diner,"Арбат, 23, стр. 1",Арбатская,,2
221,Beverly Hills Diner,"Садовая-Триумфальная, 18–20",Маяковская,,2
222,Beverly Hills Diner,"Ленинский просп., 109, ТРЦ «Рио Ленинский»","Проспект Вернадского, Юго-Западная, Калужская",,2
223,Beverly Hills Diner,"Покровка, 10, стр. 2","Чистые пруды, Тургеневская, Китай-город, Сретенский бульвар",,2
224,Be Young,"Измайловский Вал, 2",Семеновская,,2
225,BFB Bar,"Нижегородская, 32, стр. 5","Площадь Ильича, Крестьянская Застава",,2
226,Bianca,"Ананьевский пер., 4/2, стр. 1",Сухаревская,,
227,Bibi,"Чистопрудный б-р, 12, стр. 6","Чистые пруды, Тургеневская, Сретенский бульвар",,1
228,Bierloga,"Туристская, 13, корп. 2",Сходненская,,2
229,Big Bite Café,"Б.Никитская, 14/2, стр. 6","Охотный Ряд, Театральная, Площадь Революции",,1
230,Big Bite Café,"Лесная, 43","Белорусская, Новослободская, Менделеевская",,1
231,Big Wall Café,"Бумажный пр., 19, стр. 1, на территории СЦ Big Wall","Белорусская, Савеловская",,2
232,Big Тарталетка,"Б.Полянка, 30",Полянка,,1
233,Bio Café,"Ленинский просп., 146, СК «Фитнесмания»",Юго-Западная,,2
234,Birger,"Семеновская пл., 7, корп. 17",Семеновская,,2
235,Biz Coffee,"Б.Семеновская, 49а, ТЦ «Семеновский пассаж», 1 этаж",Семеновская,,1
236,Bla-Bla Bar,"Лесная, 1/2",Белорусская,,2
237,Bla Bla Room,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис», 3 этаж","Войковская, Балтийская",,1
238,Black,"Чистопрудный б-р, 25","Чистые пруды, Тургеневская, Сретенский бульвар",,
239,Black Code,"Садовническая, 42","Новокузнецкая, Третьяковская",,2
240,Patara Café,"Ермолаевский пер., 7","Маяковская, Краснопресненская, Баррикадная",8.3,3
241,Boston Seafood & Bar,"Лесная, 7, БЦ «Белые сады»",Белорусская,8.3,3
242,Gayane's,"2-й Смоленский пер., 1/4",Смоленская,8.3,2
243,Молоко,"Б.Дмитровка, 7/5, стр. 5","Охотный Ряд, Театральная, Площадь Революции",8.3,2
244,AC/DC в Тбилиси,"Крымский Вал, 9, стр. 19, в парке Горького","Парк культуры, Октябрьская",8.3,1
245,Чито-Ра,"Казакова, 10/2","Курская, Чкаловская",8.3,1
246,Black Thai,"Б.Путинковский пер., 5","Тверская, Пушкинская, Чеховская",8.3,3
247,Chainaya. Tea & Cocktails,"1-я Тверская-Ямская, 29, стр. 1",Белорусская,8.2,3
248,Semplice,"Чаплыгина, 6","Чистые пруды, Тургеневская, Сретенский бульвар",8.2,2
249,I Like Wine 2.0,"Тимура Фрунзе, 11, стр. 19",Парк культуры,8.2,2
250,Goodman,"Ленинский просп., 57","Ленинский проспект, Академическая",8.2,3
251,Da Pino,"Б.Бронная, 23, стр. 1","Тверская, Пушкинская, Чеховская",8.2,2
252,Friends & Family,"Осенний б-р, 7, корп. 2",Крылатское,8.2,2
253,Андерсон на Островитянова,"Островитянова, 5","Коньково, Тропарево",8.2,2
254,Столовая №57,"Красная пл., 3, ГУМ, 3 линия, 3 этаж","Охотный Ряд, Театральная, Площадь Революции",8.2,1
255,Goodman,"Трубная пл., 2, ТЦ «Неглинная плаза», 2 этаж",Трубная,8.2,3
256,Рецептор,"Б.Никитская, 22/2","Тверская, Арбатская, Пушкинская, Чеховская",8.2,2
257,Mandarin Combustible,"М.Черкасский пер., 2","Лубянка, Кузнецкий Мост, Китай-город",8.2,2
258,Эларджи,"Гагаринский пер., 15а","Кропоткинская, Смоленская",8.2,3
259,Уголек,"Б.Никитская, 12","Библиотека им. Ленина, Арбатская, Александровский сад, Боровицкая",8.2,3
260,Asia Hall,"Кутузовский просп., 48, галереи «Времена года», 3 этаж","Парк Победы, Славянский бульвар",8.2,4
261,La bella società,"Охотный Ряд, 2, ТГ «Модный сезон», кинотеатр «Москва»","Охотный Ряд, Театральная, Площадь Революции",8.2,4
262,Тарас Бульба,"Моховая, 8, стр. 1","Библиотека им. Ленина, Арбатская, Александровский сад, Боровицкая",8.2,2
263,Чихо,"Кривоколенный пер., 12, стр. 10","Чистые пруды, Тургеневская, Сретенский бульвар",8.2,1
264,Николай,"Пятницкая, 53","Новокузнецкая, Добрынинская, Третьяковская, Полянка, Серпуховская",8.2,2
265,Sky Lounge,"Ленинский просп., 32а, здание РАН, 22 этаж",Ленинский проспект,8.2,4
266,Высота 5642,"Б.Черкасский пер., 15–17, стр. 1",Китай-город,8.2,3
267,"Black Coffee, Please","Зубовский б-р, 16–20, стр. 1",Парк культуры,,1
268,Blacklist,"Б.Дмитровка, 20, стр. 1","Тверская, Чеховская, Пушкинская",,2
269,Food Market 21,"Н.Арбат, 21","Арбатская, Смоленская",,
270,Il massimo,"Автозаводская, 4",Автозаводская,8.2,2
271,Буфет,"Александра Солженицына, 46","Таганская, Площадь Ильича, Марксистская, Римская",8.2,3
272,Blacksmith Irish Pub,"Бутырский Вал, 5",Белорусская,,2
273,Blacksmith Irish Pub,"Ленинская Слобода, 26, МЦ Roomer, фуд-корт Streat",Автозаводская,,
274,Black Star Burger,"пл. Киевского Вокзала, 2, ТРЦ «Европейский»",Киевская,,1
275,Цветение сакуры,"Красина, 7, стр. 1",Маяковская,8.2,3
276,Meating,"4-й Сыромятнический пер., 3/5","Курская, Чкаловская",8.2,1
277,Black & White,"Волгоградский просп., 26, стр. 1",,,2
278,Blanc de blancs,"Люсиновская, 36/50","Добрынинская, Серпуховская",,2
279,Blast Me Coffee,"Первомайская, 81",Первомайская,,
280,Bora Bora,"Ореховый б-р, 14, корп. 3, ТРЦ «Домодедовский»",Домодедовская,8.2,2
281,Андерсон на Страстном,"Страстной б-р, 4","Тверская, Пушкинская, Чеховская",8.2,2
282,Bloom-n-Brew,"Ниж.Красносельская, 35, стр. 50","Красносельская, Бауманская",,1
283,White Rabbit,"Смоленская пл., 3, Смоленский пассаж, 16 этаж",Смоленская,8.2,4
284,China Club,"Красина, 21",Маяковская,8.2,3
285,Bruce Lee,"Болотная наб., 3, стр. 2, арт-кластер «Красный Октябрь»",Кропоткинская,8.2,2
286,Blueberry Haze,"Луков пер., 10","Чистые пруды, Тургеневская, Сретенский бульвар",,1
287,Bổ,"Ленинская Слобода, 26, МЦ Roomer, фуд-корт Streat",Автозаводская,,1
288,13°,"4-я Тверская-Ямская, 13",Маяковская,8.2,2
289,Suzuran,"Сверчков пер., 8","Чистые пруды, Тургеневская, Китай-город, Сретенский бульвар",8.2,2
290,Воронеж,"Б.Дмитровка, 12/1, стр. 1","Охотный Ряд, Театральная, Площадь Революции",8.2,2
291,Bob Smoker Bar,"М.Палашевский пер., 6","Тверская, Пушкинская, Чеховская",,2
292,Bocconcino,"Ленинский просп., 109, ТРЦ «Рио», 3 этаж","Проспект Вернадского, Юго-Западная, Калужская",,3
293,Bocconcino,"Кутузовский просп., 57, ТРЦ «Океания», 4 этаж",Славянский бульвар,,3
294,Bocconcino,"Ленинградское ш., 16, стр. 8","Войковская, Балтийская",,3
295,Zotman Pizza Pie,"Б.Никитская, 23/14/9",Арбатская,8.2,2
