,Name,Address,Metro,Rating,Money,lat,lng,District
49,Aura Bar,"Новочеркасский б-р, 57, корп. 2",Марьино,,2.0,55.647534,37.742447,Марьино
50,Avatara,"Заводской пр., 10",Измайловская,,,55.789441,37.782889,Измайлово
51,Avenue,"Смоленская, 8, гостиница Azimut Moscow Smolenskaya",Смоленская,,3.0,55.746233,37.5804,Арбат
52,Avenue Club,"Щелковское ш., 30",Щелковская,,,55.809403,37.78394,Северное Измайлово
53,Aviator,"Пресненская наб., 12, ММДЦ «Москва-Сити», башня «Федерация», 52 этаж","Выставочная, Международная, Деловой центр",,4.0,43.908336,41.428387,
54,Aviv,"Рублево-Успенское ш., 207, Еврейский культурный центр «Жуковка»",,,2.0,,,
55,Aviv Express,"Богословский пер., 5","Тверская, Пушкинская, Чеховская",,1.0,55.762485,37.598878,Пресненский
56,Azora Coffee & Cheese,"Бауманская, 9","Красносельская, Бауманская",,1.0,55.776654,37.677104,Басманный
57,Babylon,"Маросейка, 2/15, стр. 1",Китай-город,,,55.757182,37.632556,Басманный
58,Baccarat Cristal Room,"Никольская, 19–21, 2 этаж","Лубянка, Кузнецкий Мост",,4.0,55.758954,37.623852,Тверской
59,Backstage,"66-й км МКАД, пересечение с Волоколамским ш., в здании Crocus City Hall, 4 этаж",Мякинино,,3.0,,,
60,Bai Kalyan Café,"Волгоградский просп., 32, корп. 12",Волгоградский проспект,,2.0,55.72164,37.69304,Южнопортовый
61,Bake'n'Roll,"Академика Королева, 10",ВДНХ,,3.0,55.823393,37.619899,Останкинский
62,Bakery by Men,"просп. Вернадского, 6, ТЦ «Капитолий Вернадского»",Университет,,1.0,55.691958,37.527956,Раменки
63,Bakery Home,"Оболенский пер., 9, корп. 1",Фрунзенская,,1.0,55.73036,37.57925,Хамовники
64,Baklajan,"Кутузовский просп., 57",Славянский бульвар,,3.0,55.727927,37.476169,Фили-Давыдково
65,Bang Bang,"Рождественка, 6/9/20, стр. 1","Лубянка, Кузнецкий Мост",,1.0,55.761183,37.623834,Мещанский
66,Banket Rooms,"Тверская, 18","Тверская, Пушкинская, Чеховская",,,55.766147,37.604241,Тверской
67,Bao + Noodles,"Ниж.Красносельская, 35, стр. 59, рынок «Гастроферма»","Красносельская, Бауманская",,1.0,,,
68,Bao + Noodles,"Ленинская Слобода, 26, МЦ Roomer, фуд-корт Streat",Автозаводская,,1.0,,,
69,Bar 24,"Краснопресненская наб., 12, отель Crowne Plaza, 1 этаж","Выставочная, Улица 1905 года, Международная, Деловой центр",,2.0,,,
70,Barabar,"Новочеремушкинская, 12",Академическая,,2.0,55.686472,37.583436,Академический
71,Barbar,"Б.Патриарший пер., 10, КЦ «Дом на Патриарших», цокольный этаж","Маяковская, Тверская, Пушкинская, Чеховская",,2.0,,,
72,Bar B.Q.,"Кржижановского, 22, стр. 1","Профсоюзная, Новые Черемушки",,2.0,55.677692,37.574363,Академический
73,Bar BQ Café Метрополис,"Ленинградское ш., 16а, стр. 4, ТЦ «Метрополис»","Войковская, Балтийская",,2.0,55.823211,37.497468,Войковский
74,Bar BQ Café на Манежной,"Манежная пл., 1, стр. 2, ТЦ «Охотный Ряд»","Охотный Ряд, Театральная, Площадь Революции",,2.0,55.755773,37.614608,Тверской
75,Bar BQ Café Химки,"24-й км Ленинградского ш., ТЦ «Мега Химки»","Речной вокзал, Планерная",,2.0,55.578951,37.464365,Сосенское
76,Bar by Smoothie & Coffee,"Пресненская наб., 6, стр. 2, БЦ «Башня Империя», –1 этаж","Выставочная, Международная, Деловой центр",,2.0,55.748143,37.540488,Пресненский
77,Barin,"Б.Якиманка, 24, гостиница «Президент-отель», 14 этаж","Октябрьская, Полянка",,3.0,55.737441,37.612973,Якиманка
78,Barista Café,"В.Красносельская, 3а, ТДК «Тройка»",Красносельская,,1.0,55.785513,37.665408,Красносельский
79,Bar Novi,"Херсонская, 43","Новые Черемушки, Калужская",,2.0,55.659231,37.560835,Черёмушки
80,Baron de Makaron,"Щукинская, 42, ТРК «Щука»",Щукинская,,2.0,55.809469,37.464571,Щукино
81,Barrel,"4-й Сыромятнический пер., 1/8, стр. 6, ЦСИ «Винзавод»","Курская, Чкаловская",,2.0,55.755697,37.664518,Басманный
82,Barrique,"Благовещенский пер., 10, стр. 2","Маяковская, Тверская, Пушкинская, Чеховская",,2.0,55.767499,37.598591,Тверской
83,Barton 1816,"Станиславского, 15","Таганская, Марксистская",,3.0,55.744916,37.661392,Таганский
84,Barvip,,,,,,,
85,Bazar,"Кировоградская, 13а, ТЦ Columbus",Пражская,,1.0,55.612182,37.607026,Чертаново Центральное
86,BB & Burgers,"20-й км Ильинского ш., дер. Глухово, Центральная, 46",,,1.0,55.769757,37.254312,
87,BB & Burgers,"Н.Арбат, 17",Арбатская,,1.0,55.752141,37.590713,Арбат
88,BB & Burgers,"Пресненская наб., 6, стр. 2, БЦ «Башня Империя»","Выставочная, Деловой центр",,1.0,55.748143,37.540488,Пресненский
89,BB & Burgers,"Пятницкая, 25, стр. 1д","Новокузнецкая, Третьяковская",,1.0,55.741521,37.62881,Замоскворечье
90,BB & Burgers,"5-й км от МКАД Новорижского ш., ТРК «Рига-молл»",,,1.0,59.065204,80.805032,
91,BB & Burgers,"Маросейка, 4/2, стр. 1","Лубянка, Кузнецкий Мост, Китай-город",,1.0,55.757409,37.633688,Басманный
